섹션	영어 원문	베트남어 번역
crekicPage.week1Title	Sensory Stimulation	Kích thích Giác quan
crekicPage.week1Desc	Exploring the world through touch, sound, smell, and sight.	Khám phá thế giới qua xúc giác, âm thanh, khứu giác và thị giác.
crekicPage.week2Label	Week 2	Tuần 2
crekicPage.week2Title	Emotional Expression	Biểu đạt Cảm xúc
crekicPage.week2Desc	Connecting feelings to art and movement.	Kết nối cảm xúc với nghệ thuật và chuyển động.
crekicPage.week3Label	Week 3	Tuần 3
crekicPage.week3Title	Language Development	Phát triển Ngôn ngữ
crekicPage.week3Desc	Turning sensory experiences into words and stories.	Chuyển đổi trải nghiệm giác quan thành từ ngữ và câu chuyện.
crekicPage.week4Label	Week 4	Tuần 4
crekicPage.week4Title	All-in-One Performance	Biểu diễn Tổng hợp
crekicPage.week4Desc	Bringing it all together in a full creative performance.	Kết hợp tất cả trong một màn biểu diễn sáng tạo hoàn chỉnh.
crekicPage.epeLabel	THE E.P.E MODEL	MÔ HÌNH E.P.E
crekicPage.epeTitle	Three steps. One complete experience.	Ba bước. Một trải nghiệm hoàn chỉnh.
crekicPage.engageTitle	Engage	Khởi động (Engage)
crekicPage.engageDesc	Clear goal setting — the child knows what to discover.	Đặt mục tiêu rõ ràng — trẻ biết mình sẽ khám phá gì.
crekicPage.performTitle	Performance	Biểu diễn (Performance)
crekicPage.performDesc	From play to expression — movement, sound, and art combined.	Từ vui chơi đến biểu đạt — kết hợp chuyển động, âm thanh và nghệ thuật.
crekicPage.expressTitle	Express	Biểu đạt (Express)
crekicPage.expressDesc	Reinforcing through language and art — Tell me what you made.	Củng cố qua ngôn ngữ và nghệ thuật — Hãy kể cho tôi nghe về tác phẩm của bạn.
crekicPage.keyToolLabel	KEY TOOL	CÔNG CỤ CHÍNH
crekicPage.keyToolTitle	I-Canvas (아이캔버스)	I-Canvas (아이캔버스)
crekicPage.keyToolDesc	A unique Noljak medium for children to express their feelings emotionally and verbally — part canvas, part conversation starter. The I-Canvas bridges the gap between what a child feels and what they can say.	Một phương tiện độc đáo của Noljak để trẻ biểu đạt cảm xúc bằng lời và hình — vừa là canvas, vừa là điểm khởi đầu cuộc trò chuyện. I-Canvas thu hẹp khoảng cách giữa những gì trẻ cảm nhận và những gì chúng có thể nói.
crekicPage.keyToolBadge	Noljak Exclusive Tool	Công cụ Độc quyền Noljak
crekicPage.envTitle	Two spaces. One purpose.	Hai không gian. Một mục đích.
crekicPage.generalTitle	General Classroom	Phòng học Thông thường
crekicPage.generalDesc	For emotional interaction, group dialogue, and calm creative activities.	Dành cho tương tác cảm xúc, đối thoại nhóm và các hoạt động sáng tạo điềm tĩnh.
crekicPage.performClassTitle	Performance Classroom	Phòng Biểu diễn
crekicPage.performClassDesc	For dynamic, full-body expression — movement, sound, and large-scale art.	Dành cho biểu đạt toàn thân năng động — chuyển động, âm thanh và nghệ thuật quy mô lớn.
crekicPage.ctaTitle	Start your child's creative journey.	Bắt đầu hành trình sáng tạo của con bạn.
crekicPage.ctaBtn1	Talk to a Consultant	Tư vấn với Chuyên gia
crekicPage.ctaBtn2	Find a CreKiC Center	Tìm Trung tâm CreKiC
basicPage.courseLabel	COURSE 02	KHÓA HỌC 02
basicPage.heroTitle	Thinking starts with real observation.	Tư duy bắt đầu từ quan sát thực tế.
basicPage.heroSub	Ages 6–7 · Real Object · Observation · Thinking	6–7 tuổi · Vật thật · Quan sát · Tư duy
basicPage.whatLabel	WHAT IS BASIC?	BASIC LÀ GÌ?
basicPage.whatTitle	Don't draw first. Observe first.	Đừng vẽ trước. Hãy quan sát trước.
basicPage.whatDesc	Basic is Noljak's core course for ages 6–7. Children learn to observe real objects with precision — not photos, not videos, but the actual thing. From that observation, real thinking begins.	Basic là khóa học cốt lõi của Noljak dành cho trẻ 6–7 tuổi. Trẻ học cách quan sát vật thật một cách chính xác — không phải ảnh, không phải video, mà là vật thật. Từ quan sát đó, tư duy thực sự bắt đầu.
basicPage.whatQuote	The data a child collects through direct experience cannot be found on Google. It is theirs alone.	Dữ liệu mà trẻ thu thập qua trải nghiệm trực tiếp không thể tìm thấy trên Google. Đó là của riêng chúng.
basicPage.stepLabel	4-STEP PROJECT	DỰ ÁN 4 BƯỚC
basicPage.stepTitle	One real object. Four weeks of discovery.	Một vật thật. Bốn tuần khám phá.
basicPage.step1Title	Observation	Quan sát
basicPage.step1Desc	Explore the real object with all five senses. Collect data.	Khám phá vật thật bằng tất cả năm giác quan. Thu thập dữ liệu.
basicPage.step1Badge	e.g. Real Snail	Ví dụ: Ốc sên thật
basicPage.step2Title	Imagination	Tưởng tượng
basicPage.step2Desc	Add personal imagination to collected data. Visualize.	Thêm trí tưởng tượng cá nhân vào dữ liệu đã thu thập. Hình dung.
basicPage.step3Title	Expansion	Mở rộng
basicPage.step3Desc	Add story and perspective. Think critically.	Thêm câu chuyện và góc nhìn. Suy nghĩ phê phán.
basicPage.step4Title	Expression	Biểu đạt
basicPage.step4Desc	Complete a unique final creation.	Hoàn thành một tác phẩm cuối cùng độc đáo.
basicPage.obsToolsLabel	OBSERVATION TOOLS	CÔNG CỤ QUAN SÁT
basicPage.obsToolsTitle	Tools that activate all five senses.	Các công cụ kích hoạt tất cả năm giác quan.
basicPage.tool1Title	Curiosity Box	Hộp Tò mò
basicPage.tool1Sub	호기심 상자	호기심 상자
basicPage.tool1Desc	Blocks vision. Only touch, sound, and smell. Maximum sensory activation.	Che khuất tầm nhìn. Chỉ dùng xúc giác, âm thanh và khứu giác. Kích hoạt giác quan tối đa.
basicPage.tool1Badge	Noljak Exclusive	Độc quyền Noljak
basicPage.tool2Title	Observation Magnifier	Kính lúp Quan sát
basicPage.tool2Sub	관찰 돋보기	관찰 돋보기
basicPage.tool2Desc	Precision analysis of structure and detail. Discover what the naked eye misses.	Phân tích chính xác cấu trúc và chi tiết. Khám phá những gì mắt thường bỏ lỡ.
basicPage.tool2Badge	Noljak Exclusive	Độc quyền Noljak
basicPage.studioLabel	OBSERVATION STUDIO	PHÒNG QUAN SÁT
basicPage.studioTitle	A space designed for deep focus.	Không gian được thiết kế cho sự tập trung sâu.
basicPage.studioDesc	Calm blue tones create the perfect environment for concentrated observation. The large solid wood workbench allows children to examine objects from every angle.	Tông màu xanh dịu tạo môi trường hoàn hảo cho việc quan sát tập trung. Bàn làm việc gỗ tự nhiên lớn cho phép trẻ kiểm tra vật thể từ mọi góc độ.
basicPage.studioBullet1	Calm blue color tones for focused thinking	Tông màu xanh dịu cho tư duy tập trung
basicPage.studioBullet2	Large solid wood workbench for multi-angle observation	Bàn làm việc gỗ tự nhiên lớn cho quan sát đa chiều
basicPage.sensoryLabel	SENSORY LANGUAGE	NGÔN NGỮ GIÁC QUAN
basicPage.sensoryTitle	From senses to words to ideas.	Từ giác quan đến từ ngữ đến ý tưởng.
basicPage.sensoryDesc	Rich sensory language is the foundation of creative thinking. When children describe what they feel, they build the vocabulary of imagination.	Ngôn ngữ giác quan phong phú là nền tảng của tư duy sáng tạo. Khi trẻ mô tả những gì chúng cảm nhận, chúng xây dựng vốn từ vựng của trí tưởng tượng.
basicPage.sensory1Ko	말랑말랑하다	말랑말랑하다
basicPage.sensory1En	(Soft and squishy)	(Mềm và đàn hồi)
basicPage.sensory2Ko	비릿하다	비릿하다
basicPage.sensory2En	(Smells like the sea)	(Mùi biển)
basicPage.sensory3Ko	차가운 금속 같다	차가운 금속 같다
basicPage.sensory3En	(Cold like metal)	(Lạnh như kim loại)
basicPage.ctaTitle	See real observation in action.	Xem quan sát thực tế trong hành động.
basicPage.ctaBtn1	Talk to a Consultant	Tư vấn với Chuyên gia
basicPage.ctaBtn2	Find a Basic Center	Tìm Trung tâm Basic
creatorPage.courseLabel	COURSE 03	KHÓA HỌC 03
creatorPage.heroTitle	Ideas become original creations.	Ý tưởng trở thành những sáng tạo độc đáo.
creatorPage.heroSub	Ages 8–Elementary · Design Thinking · Creative Fusion	8 tuổi–Tiểu học · Tư duy Thiết kế · Sáng tạo Tích hợp
creatorPage.whatLabel	WHAT IS CREATOR?	CREATOR LÀ GÌ?
creatorPage.whatTitle	Design your own world.	Thiết kế thế giới của riêng bạn.
creatorPage.whatDesc	Creator is Noljak's advanced course for children who have completed Basic. Here, children combine accumulated observation data with art, humanities, science, and social thinking — to design solutions that are truly their own.	Creator là khóa học nâng cao của Noljak dành cho trẻ đã hoàn thành Basic. Ở đây, trẻ kết hợp dữ liệu quan sát tích lũy với nghệ thuật, nhân văn, khoa học và tư duy xã hội — để thiết kế những giải pháp thực sự của riêng mình.
creatorPage.whatQuote	Idea sketches are not doodles. They are blueprints for the best possible answer.	Bản phác thảo ý tưởng không phải là nguệch ngoạc. Chúng là bản thiết kế cho câu trả lời tốt nhất có thể.
creatorPage.designLabel	DESIGN THINKING	TƯ DUY THIẾT KẾ
creatorPage.designTitle	From infinite ideas to one masterpiece.	Từ vô số ý tưởng đến một kiệt tác.
creatorPage.design1Title	Divergent Thinking	Tư duy Phân kỳ
creatorPage.design1Desc	Generate hundreds of possibilities using 9 imagination tools.	Tạo ra hàng trăm khả năng bằng 9 công cụ trí tưởng tượng.
creatorPage.design2Title	Idea Sketch	Phác thảo Ý tưởng
creatorPage.design2Desc	Convert abstract ideas into visual blueprints.	Chuyển đổi ý tưởng trừu tượng thành bản thiết kế trực quan.
creatorPage.design3Title	Convergent Thinking	Tư duy Hội tụ
creatorPage.design3Desc	Select one idea and develop it to its fullest potential.	Chọn một ý tưởng và phát triển nó đến tiềm năng đầy đủ nhất.
creatorPage.design4Title	Final Creation	Tác phẩm Cuối cùng
creatorPage.design4Desc	A work that carries social meaning or functional value.	Một tác phẩm mang ý nghĩa xã hội hoặc giá trị chức năng.
creatorPage.toolsLabel	9 IMAGINATION TOOLS	9 CÔNG CỤ TRÍ TƯỞNG TƯỢNG
creatorPage.toolsTitle	Imagination is a skill. Here are the tools.	Trí tưởng tượng là một kỹ năng. Đây là các công cụ.
creatorPage.toolsDesc	Children use these 9 systematic tools to break fixed thinking and transform their observation data into revolutionary ideas.	Trẻ sử dụng 9 công cụ hệ thống này để phá vỡ tư duy cố định và biến đổi dữ liệu quan sát thành những ý tưởng cách mạng.
creatorPage.tool1Title	Shape Shifting	Biến đổi Hình dạng
creatorPage.tool1Desc	Transform basic shapes into entirely new forms	Biến đổi các hình dạng cơ bản thành những hình thức hoàn toàn mới
creatorPage.tool2Title	Mix & Match	Kết hợp & Phối hợp
creatorPage.tool2Desc	Combine unrelated attributes to create something new	Kết hợp các thuộc tính không liên quan để tạo ra thứ gì đó mới
creatorPage.tool3Title	Feature Focusing	Tập trung Đặc điểm
creatorPage.tool3Desc	Isolate and redefine the key characteristics of any object	Tách biệt và tái định nghĩa các đặc điểm chính của bất kỳ vật thể nào
creatorPage.tool4Title	Avatar POV	Góc nhìn Hóa thân
creatorPage.tool4Desc	See the world through someone else's eyes entirely	Nhìn thế giới hoàn toàn qua mắt người khác
creatorPage.tool5Title	Scaling Up & Down	Phóng to & Thu nhỏ
creatorPage.tool5Desc	Explore by dramatically changing size	Khám phá bằng cách thay đổi kích thước một cách mạnh mẽ
creatorPage.tool6Title	Break & Build	Tháo rời & Xây dựng
creatorPage.tool6Desc	Separate and recombine elements in unexpected ways	Tách biệt và tái kết hợp các yếu tố theo những cách bất ngờ
creatorPage.tool7Title	Giving Life	Trao Sự sống
creatorPage.tool7Desc	Give movement and life to static objects	Trao chuyển động và sự sống cho các vật thể tĩnh
creatorPage.tool8Title	Time Traveling	Du hành Thời gian
creatorPage.tool8Desc	Reverse or fast-forward time to reimagine cause and effect	Đảo ngược hoặc tua nhanh thời gian để tái tưởng tượng nguyên nhân và kết quả
creatorPage.tool9Title	Super Function	Siêu Chức năng
creatorPage.tool9Desc	Give objects impossible abilities beyond their original purpose	Trao cho vật thể những khả năng không thể ngoài mục đích ban đầu của chúng
creatorPage.caseLabel	CASE STUDY	NGHIÊN CỨU THỰC TẾ
creatorPage.caseTitle	Shuttlecock! What do you look like?	Cầu lông! Bạn trông như thế nào?
creatorPage.caseDesc	Original data that search engines can't find and AI can never replicate.	Dữ liệu gốc mà các công cụ tìm kiếm không thể tìm thấy và AI không bao giờ có thể sao chép.
creatorPage.case1Title	Observation	Quan sát
creatorPage.case1Desc	Lightness, feather structure, air space — all data collected by touch and sight.	Sự nhẹ nhàng, cấu trúc lông, không gian không khí — tất cả dữ liệu được thu thập bằng xúc giác và thị giác.
creatorPage.case2Title	Thinking	Tư duy
creatorPage.case2Desc	'The feathers look like the Eiffel Tower.' / 'It could be a hot air balloon basket.'	'Lông vũ trông giống Tháp Eiffel.' / 'Nó có thể là giỏ khinh khí cầu.'
creatorPage.case3Title	Expression	Biểu đạt
creatorPage.case3Desc	Children created the Eiffel Tower, a flowing dress, and a fantasy balloon — all from one shuttlecock.	Trẻ đã tạo ra Tháp Eiffel, một chiếc váy duyên dáng và một khinh khí cầu huyền ảo — tất cả từ một quả cầu lông.
creatorPage.atelierLabel	ATELIER SPACE	KHÔNG GIAN ATELIER
creatorPage.atelierTitle	A studio where creators work.	Một studio nơi những người sáng tạo làm việc.
creatorPage.atelierDesc	The Creator classroom is an atelier-style space with multiple materials and experimental techniques available. Children can plan and display their own exhibitions.	Lớp học Creator là không gian phong cách atelier với nhiều vật liệu và kỹ thuật thực nghiệm. Trẻ có thể lên kế hoạch và trưng bày triển lãm của riêng mình.
creatorPage.atelierBullet1	Multiple materials and experimental techniques	Nhiều vật liệu và kỹ thuật thực nghiệm
creatorPage.atelierBullet2	Gallery element — children plan and display their own exhibitions	Yếu tố phòng trưng bày — trẻ lên kế hoạch và trưng bày triển lãm của riêng mình
creatorPage.ctaTitle	Ready to design your world?	Sẵn sàng thiết kế thế giới của bạn?
creatorPage.ctaBtn1	Talk to a Consultant	Tư vấn với Chuyên gia
creatorPage.ctaBtn2	Find a Creator Center	Tìm Trung tâm Creator
othersPage.heroLabel	PROGRAMS	CHƯƠNG TRÌNH
othersPage.heroTitle	Beyond the curriculum. Still Noljak.	Vượt ra ngoài chương trình học. Vẫn là Noljak.
othersPage.heroDesc	Noljak offers a rich variety of programs and tools — all grounded in the same philosophy of observation, thinking, and creative expression.	Noljak cung cấp nhiều chương trình và công cụ phong phú — tất cả đều dựa trên cùng triết lý về quan sát, tư duy và biểu đạt sáng tạo.
othersPage.drawingLabel	NOLJAK CREATIVE DRAWING	VẼ SÁNG TẠO NOLJAK
othersPage.drawingTitle	Drawing as a thinking tool.	Vẽ như một công cụ tư duy.
othersPage.drawingDesc	Noljak Creative Drawing explores drawing elements found in everyday life. By observing and expressing these elements through playful methods, children develop rich thematic expression skills.	Vẽ Sáng tạo Noljak khám phá các yếu tố vẽ trong cuộc sống hàng ngày. Bằng cách quan sát và biểu đạt những yếu tố này qua các phương pháp vui tươi, trẻ phát triển kỹ năng biểu đạt chủ đề phong phú.
othersPage.drawingAge	Ages 3+	Từ 3 tuổi
othersPage.drawingLink	Learn more	Tìm hiểu thêm
othersPage.drawingBasicTitle	Basic	Cơ bản
othersPage.drawingBasicAge	Ages 6 and older	Trẻ từ 6 tuổi
othersPage.drawingBasicDesc	Cultivates the ability to express various subjects by observing and interpreting drawing elements found in children's everyday lives through playful methods.	Phát triển khả năng biểu đạt các chủ đề khác nhau bằng cách quan sát và diễn giải các yếu tố vẽ trong cuộc sống hàng ngày của trẻ qua các phương pháp vui tươi.
othersPage.drawingAdvTitle	Advanced	Nâng cao
othersPage.drawingAdvAge	Elementary-aged children	Trẻ tiểu học
othersPage.drawingAdvDesc	An intensive drawing course covering Observation, Human Anatomy, Coloring, and Three-dimensional expression.	Khóa học vẽ chuyên sâu bao gồm Quan sát, Giải phẫu người, Tô màu và biểu đạt ba chiều.
othersPage.kitLabel	NOLJAK ART KIT	BỘ KIT NGHỆ THUẬT NOLJAK
othersPage.kitTitle	A complete art experience in one box.	Trải nghiệm nghệ thuật hoàn chỉnh trong một hộp.
othersPage.kitDesc	Each Art Kit contains all essential materials for art activities, coupled with detailed instructions — ensuring that anyone can easily create artistic pieces. Centered around a specific theme, each kit fosters creativity, confidence, and a sense of accomplishment.	Mỗi Bộ Kit Nghệ thuật chứa tất cả vật liệu cần thiết cho các hoạt động nghệ thuật, cùng với hướng dẫn chi tiết — đảm bảo bất kỳ ai cũng có thể dễ dàng tạo ra các tác phẩm nghệ thuật. Xoay quanh một chủ đề cụ thể, mỗi kit nuôi dưỡng sự sáng tạo, tự tin và cảm giác thành tựu.
othersPage.kitAge	Ages 4+	Từ 4 tuổi
othersPage.kit1Title	ArtBox 12	ArtBox 12
othersPage.kit1Desc	12 art activities around a single theme — from watermelon to autumn leaves. Refines fine motor skills and fosters creativity.	12 hoạt động nghệ thuật xung quanh một chủ đề duy nhất — từ dưa hấu đến lá mùa thu. Rèn luyện kỹ năng vận động tinh và nuôi dưỡng sự sáng tạo.
othersPage.kit2Title	Artist Box	Artist Box
othersPage.kit2Desc	Inspired by masters like Klimt, Matisse, Mondrian, and Monet. Children appreciate and apply artists' techniques to create their own works.	Lấy cảm hứng từ các bậc thầy như Klimt, Matisse, Mondrian và Monet. Trẻ thưởng thức và áp dụng kỹ thuật của các họa sĩ để tạo ra tác phẩm riêng.
othersPage.kit3Title	Flower Art Box	Flower Art Box
othersPage.kit3Desc	Create oversized blooms, flower mobiles, and 3D floral artworks. Combines nature knowledge with fine motor development.	Tạo ra những bông hoa khổng lồ, rèm hoa và tác phẩm nghệ thuật hoa 3D. Kết hợp kiến thức về thiên nhiên với phát triển vận động tinh.
othersPage.kitLink	Explore Art Kits	Khám phá Bộ Kit Nghệ thuật
othersPage.craftLabel	CRAFT MATERIAL COLLECTION	BỘ SƯU TẬP VẬT LIỆU THỦ CÔNG
othersPage.craftTitle	One material. Endless possibilities.	Một vật liệu. Vô vàn khả năng.
othersPage.craftDesc	Each collection focuses on a single art material — colored sand, clay, cellophane, masking tape, and more. With around 10 activity sheets per kit, children explore the full creative potential of each material, building confidence through completing multiple artworks.	Mỗi bộ sưu tập tập trung vào một vật liệu nghệ thuật duy nhất — cát màu, đất sét, giấy bóng kính, băng keo giấy và nhiều hơn nữa. Với khoảng 10 tờ hoạt động mỗi kit, trẻ khám phá toàn bộ tiềm năng sáng tạo của mỗi vật liệu, xây dựng sự tự tin qua việc hoàn thành nhiều tác phẩm.
othersPage.craftAge	All ages	Mọi lứa tuổi
othersPage.craftLink	Explore Collections	Khám phá Bộ sưu tập
othersPage.material1	Colored Sand	Cát màu
othersPage.material2	Clay	Đất sét
othersPage.material3	Cellophane	Giấy bóng kính
othersPage.material4	Masking Tape	Băng keo giấy
othersPage.material5	Shape Stickers	Nhãn dán hình
othersPage.material6	Striped Colored Paper	Giấy màu sọc
othersPage.ctaTitle	Curious about our full program lineup?	Tò mò về toàn bộ danh sách chương trình của chúng tôi?
othersPage.ctaDesc	Explore our core courses or find a Noljak center near you.	Khám phá các khóa học cốt lõi hoặc tìm trung tâm Noljak gần bạn.
othersPage.ctaBtn1	Explore Core Programs	Khám phá Chương trình Cốt lõi
othersPage.ctaBtn2	Find a Center	Tìm Trung tâm
